year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1984    3.0    5.1    5.7   10.8   13.1   15.3   18.2   18.6   13.1   11.3    7.8    6.7    5.06    9.87   17.37   10.75   10.74
1985    2.5    4.9    5.8    9.2   12.4   14.0   15.9   14.8   13.4   11.9    4.9    6.0    4.66    9.12   14.93   10.11    9.68
1986    3.8    1.6    6.7    7.2   11.8   16.2   15.8   14.2   13.0   11.1    8.5    5.6    3.87    8.61   15.40   10.88    9.68
1987    2.9    5.0    5.4   11.0   11.8   13.2   16.4   15.8   13.8    9.7    7.0    6.3    4.50    9.38   15.17   10.20    9.90
1988    5.0    5.3    6.5    9.5   13.6   16.6   15.3   15.7   13.9   10.7    7.4    8.3    5.53    9.86   15.89   10.65   10.67
1989    8.2    6.4    7.5    8.0   13.6   15.5   19.0   16.0   14.1   11.7    7.3    4.5    7.69    9.72   16.84   11.03   11.02
1990    6.7    6.5    8.6    9.7   14.2   14.7   17.4   16.9   13.4   11.4    6.9    5.7    5.86   10.86   16.35   10.56   11.03
1991    4.3    3.8    8.5    9.4   12.8   13.4   18.2   17.6   15.1   10.4    7.4    6.7    4.62   10.24   16.44   10.96   10.68
1992    6.1    6.8    7.4    9.1   15.0   17.1   16.1   15.2   13.3    8.6    7.4    4.8    6.50   10.49   16.16    9.73   10.58
1993    6.0    6.9    7.7   10.0   12.2   15.1   14.9   15.0   13.4    9.0    6.0    4.2    5.90    9.97   15.00    9.46   10.06
1994    5.0    3.6    6.7    8.8   12.3   14.5   17.9   16.0   13.4   10.7    9.9    6.6    4.30    9.29   16.13   11.33   10.49
1995    4.9    5.7    5.5    9.5   12.6   16.2   18.7   20.2   14.3   13.0    8.6    3.1    5.73    9.20   18.38   11.98   11.05
1996    5.4    4.3    5.5    9.8   10.8   15.5   16.7   17.4   15.4   12.0    6.0    4.2    4.25    8.66   16.52   11.14   10.25
1997    4.7    6.7    9.0   10.6   12.7   15.0   18.1   19.4   14.7   11.3    9.0    6.6    5.14   10.77   17.52   11.65   11.50
1998    5.9    8.7    8.0    8.5   13.7   14.4   15.5   16.0   15.3   10.0    7.3    7.0    7.03   10.08   15.32   10.84   10.88
